requestedUrl,finalUrl,category,name,title,type,score
"https://localhost:8080/","https://localhost:8080/","Performance","performance-score","Overall Performance Category Score","numeric","0.92"
"https://localhost:8080/","https://localhost:8080/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.95"
"https://localhost:8080/","https://localhost:8080/","Performance","interactive","Time to Interactive","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","speed-index","Speed Index","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","total-blocking-time","Total Blocking Time","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0.98"
"https://localhost:8080/","https://localhost:8080/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","0.54"
"https://localhost:8080/","https://localhost:8080/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.99"
"https://localhost:8080/","https://localhost:8080/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","uses-responsive-images","Properly size images","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","unminified-css","Minify CSS","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","unminified-javascript","Minify JavaScript","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","unused-css-rules","Reduce unused CSS","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","unused-javascript","Reduce unused JavaScript","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","uses-optimized-images","Efficiently encode images","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","modern-image-formats","Serve images in next-gen formats","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","uses-text-compression","Enable text compression","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","uses-rel-preconnect","Preconnect to required origins","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","server-response-time","Initial server response time was short","binary","1"
"https://localhost:8080/","https://localhost:8080/","Performance","redirects","Avoid multiple page redirects","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","uses-rel-preload","Preload key requests","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Performance","uses-http2","Use HTTP/2","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","efficient-animated-content","Use video formats for animated content","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","duplicated-javascript","Remove duplicate modules in JavaScript bundles","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","legacy-javascript","Avoid serving legacy JavaScript to modern browsers","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","preload-lcp-image","Preload Largest Contentful Paint image","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Performance","total-byte-weight","Avoids enormous network payloads","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","uses-long-cache-ttl","Serve static assets with an efficient cache policy","numeric","0.82"
"https://localhost:8080/","https://localhost:8080/","Performance","dom-size","Avoids an excessive DOM size","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","critical-request-chains","Avoid chaining critical requests","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Performance","user-timings","User Timing marks and measures","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Performance","bootup-time","JavaScript execution time","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","mainthread-work-breakdown","Minimizes main-thread work","numeric","1"
"https://localhost:8080/","https://localhost:8080/","Performance","font-display","All text remains visible during webfont loads","binary","1"
"https://localhost:8080/","https://localhost:8080/","Performance","resource-summary","Keep request counts low and transfer sizes small","informative","-1"
